PaperKey,QuestionID,Year,Venue,VenueType,Title,Authors,DomainTopic,ScenarioType,MethodsUsed,Artifacts,ImpliedQuestions,PrimarySecondary,QuestionCategory,MetamodelTags,MoEs,MoPs,EvidenceType,Reproducibility,Access,SecurityLevel,DecisionType,ModelType,SourceURL,Citation,DomainSpecificHits,IsLikelyDomainSpecific,ImpliedQuestions_GenericDraft,GenericizationChanged,GenericQuestion,QuestionTemplate,InstantiationNotes,InstantiatedQuestion,GenericAcronymFlag
B2-SE-CASE-2007,B2-SE-CASE-2007-Q01,2007,AFIT / DTIC,Case Study (Technical Report),B-2 Systems Engineering Case Study (DTIC ADA464771),Griffin; Kinnu; (ed. Colombi),B-2 bomber development; systems engineering practices,Acquisition program lifecycle (historical),Retrospective case study; interviews; Friedman-Sage framework (implied),Case study report; program history; risk management examples; baseline management practices,How can a program maintain a single authoritative technical baseline across government/contractor teams to manage major redesigns without losing control?,Primary,Baseline & configuration management,Configuration; Baseline; Stakeholder; Artifact; Change; Traceability,Program stability; reduced rework,Configuration control cycle time; rework rates,Interviews + archival program documents,High (full report openly available),Open (PDF via Internet Archive),Public,Program management; technical baseline; risk management,SE process case (qualitative + quantitative baseline artifacts),https://archive.org/download/DTIC_ADA464771/DTIC_ADA464771.pdf,"Griffin, J. M., & Kinnu, J. E. (2007). B-2 Systems Engineering Case Study (ADA464771). Air Force Center for Systems Engineering, AFIT.",[],False,How can a program maintain a single authoritative technical baseline across government/contractor teams to manage major redesigns without losing control?,False,How can a program maintain a single authoritative technical baseline across government/contractor teams to manage major redesigns without losing control?,How,DomainTopic=B-2 bomber development; systems engineering practices | ScenarioType=Acquisition program lifecycle (historical) | Hits=[],How can a program maintain a single authoritative technical baseline across government/contractor teams to manage major redesigns without losing control?,False
B2-SE-CASE-2007,B2-SE-CASE-2007-Q02,2007,AFIT / DTIC,Case Study (Technical Report),B-2 Systems Engineering Case Study (DTIC ADA464771),Griffin; Kinnu; (ed. Colombi),B-2 bomber development; systems engineering practices,Acquisition program lifecycle (historical),Retrospective case study; interviews; Friedman-Sage framework (implied),Case study report; program history; risk management examples; baseline management practices,"What risk-reduction activities should be prioritized prior to key reviews (e.g., PDR) to retire the highest-impact technical risks?",Primary,Risk management & technical reviews,Risk; Review; Verification; Mitigation; Measure,Reduced technical risk at review,Risk closure burn-down; test coverage,Interviews + archival program documents,High (full report openly available),Open (PDF via Internet Archive),Public,Program management; technical baseline; risk management,SE process case (qualitative + quantitative baseline artifacts),https://archive.org/download/DTIC_ADA464771/DTIC_ADA464771.pdf,"Griffin, J. M., & Kinnu, J. E. (2007). B-2 Systems Engineering Case Study (ADA464771). Air Force Center for Systems Engineering, AFIT.",[],False,"What risk-reduction activities should be prioritized prior to key reviews (e.g., PDR) to retire the highest-impact technical risks?",False,"What risk-reduction activities should be prioritized prior to key reviews (e.g., PDR) to retire the highest-impact technical risks?",What,DomainTopic=B-2 bomber development; systems engineering practices | ScenarioType=Acquisition program lifecycle (historical) | Hits=[],"What risk-reduction activities should be prioritized prior to key reviews (e.g., PDR) to retire the highest-impact technical risks?",True
B2-SE-CASE-2007,B2-SE-CASE-2007-Q03,2007,AFIT / DTIC,Case Study (Technical Report),B-2 Systems Engineering Case Study (DTIC ADA464771),Griffin; Kinnu; (ed. Colombi),B-2 bomber development; systems engineering practices,Acquisition program lifecycle (historical),Retrospective case study; interviews; Friedman-Sage framework (implied),Case study report; program history; risk management examples; baseline management practices,Which systems engineering practices most strongly correlate with achieving performance objectives while controlling cost/schedule in complex programs?,Primary,SE practice effectiveness,Process; Measure; Cost; Schedule; Performance; Stakeholder,Delivered capability vs objectives,Schedule variance; cost variance; TPMs,Interviews + archival program documents,High (full report openly available),Open (PDF via Internet Archive),Public,Program management; technical baseline; risk management,SE process case (qualitative + quantitative baseline artifacts),https://archive.org/download/DTIC_ADA464771/DTIC_ADA464771.pdf,"Griffin, J. M., & Kinnu, J. E. (2007). B-2 Systems Engineering Case Study (ADA464771). Air Force Center for Systems Engineering, AFIT.",[],False,Which systems engineering practices most strongly correlate with achieving performance objectives while controlling cost/schedule in complex programs?,False,Which systems engineering practices most strongly correlate with achieving performance objectives while controlling cost/schedule in complex programs?,Which,DomainTopic=B-2 bomber development; systems engineering practices | ScenarioType=Acquisition program lifecycle (historical) | Hits=[],Which systems engineering practices most strongly correlate with achieving performance objectives while controlling cost/schedule in complex programs?,False
GLOBALHAWK-SE-CASE-2009,GLOBALHAWK-SE-CASE-2009-Q01,2009,AFIT / DTIC,Case Study (Technical Report),Global Hawk Systems Engineering Case Study (DTIC ADA538761),AF Center for Systems Engineering; Kinzig,Global Hawk UAV acquisition and SE lessons,Acquisition program lifecycle (historical),Retrospective case study; interviews; program documentation,Case study report; program history; requirements and test evolution,How should requirements and system architecture be evolved as operational demand and technology mature during a rapid fielding program?,Primary,Requirements evolution & architecture,Requirement; Capability; Architecture; Change; Stakeholder,Delivered ISR utility; mission availability,Requirement volatility; integration defect rates,Case study report (DTIC),High (full report openly available),Open (PDF via Internet Archive mirror),Public,Program management; ISR capability fielding,SE process case study,https://ia902805.us.archive.org/33/items/DTIC_ADA538761/DTIC_ADA538761.pdf,"Air Force Center for Systems Engineering & Kinzig, B. (2009). Global Hawk Systems Engineering Case Study (ADA538761). AFIT.",[],False,How should requirements and system architecture be evolved as operational demand and technology mature during a rapid fielding program?,False,How should requirements and system architecture be evolved as operational demand and technology mature during a rapid fielding program?,How,DomainTopic=Global Hawk UAV acquisition and SE lessons | ScenarioType=Acquisition program lifecycle (historical) | Hits=[],How should requirements and system architecture be evolved as operational demand and technology mature during a rapid fielding program?,False
GLOBALHAWK-SE-CASE-2009,GLOBALHAWK-SE-CASE-2009-Q02,2009,AFIT / DTIC,Case Study (Technical Report),Global Hawk Systems Engineering Case Study (DTIC ADA538761),AF Center for Systems Engineering; Kinzig,Global Hawk UAV acquisition and SE lessons,Acquisition program lifecycle (historical),Retrospective case study; interviews; program documentation,Case study report; program history; requirements and test evolution,"What verification, test, and operational feedback loops best support incremental capability delivery while maintaining airworthiness and mission performance?",Primary,"Test, evaluation & feedback",Test; Verification; Evidence; OperationalFeedback; Measure,Improved mission effectiveness with acceptable safety,Test coverage; defect discovery rate; sortie reliability,Case study report (DTIC),High (full report openly available),Open (PDF via Internet Archive mirror),Public,Program management; ISR capability fielding,SE process case study,https://ia902805.us.archive.org/33/items/DTIC_ADA538761/DTIC_ADA538761.pdf,"Air Force Center for Systems Engineering & Kinzig, B. (2009). Global Hawk Systems Engineering Case Study (ADA538761). AFIT.",[],False,"What verification, test, and operational feedback loops best support incremental capability delivery while maintaining airworthiness and mission performance?",False,"What verification, test, and operational feedback loops best support incremental capability delivery while maintaining airworthiness and mission performance?",What,DomainTopic=Global Hawk UAV acquisition and SE lessons | ScenarioType=Acquisition program lifecycle (historical) | Hits=[],"What verification, test, and operational feedback loops best support incremental capability delivery while maintaining airworthiness and mission performance?",False
CSER-2013-SoS-Dependency,CSER-2013-SoS-Dependency-Q01,2013,CSER / Procedia Computer Science,Conference Proceedings (Procedia),Dependency Analysis of System-of-Systems Operational and Development Networks,Guariniello; DeLaurentis,SoS operational and developmental dependency networks,Generic SoS dependency case with operational relevance,Operational/development dependency modeling; network analysis,Dependency network representations; metrics,What operational dependencies create single points of failure (or fragile cascades) that threaten mission success in a SoS?,Primary,Interdependencies & criticality,System; Interface; Dependency; Risk; Measure; Mission,Mission operability under failures,Critical node/link scores; cascade size,Method paper with illustrative examples,Medium (open proceedings PDF via ScienceDirect/ResearchGate),Open (PDF via ResearchGate),Public,Architecture risk; dependency management,Dependency network analysis,https://www.researchgate.net/profile/Cesare-Guariniello/publication/262758666_Dependency_Analysis_of_System-of-Systems_Operational_and_Development_Networks/links/5d9d5d5e92851c2f70f2e5b2/Dependency-Analysis-of-System-of-Systems-Operational-and-Development-Networks.pdf,"Guariniello, C., & DeLaurentis, D. (2013). Dependency Analysis of System-of-Systems Operational and Development Networks. Procedia Computer Science (CSER proceedings).",[],False,What operational dependencies create single points of failure (or fragile cascades) that threaten mission success in a SoS?,False,What operational dependencies create single points of failure (or fragile cascades) that threaten mission success in a SoS?,What,DomainTopic=SoS operational and developmental dependency networks | ScenarioType=Generic SoS dependency case with operational relevance | Hits=[],What operational dependencies create single points of failure (or fragile cascades) that threaten mission success in a SoS?,False
CSER-2013-SoS-Dependency,CSER-2013-SoS-Dependency-Q02,2013,CSER / Procedia Computer Science,Conference Proceedings (Procedia),Dependency Analysis of System-of-Systems Operational and Development Networks,Guariniello; DeLaurentis,SoS operational and developmental dependency networks,Generic SoS dependency case with operational relevance,Operational/development dependency modeling; network analysis,Dependency network representations; metrics,"Which development dependencies threaten timely delivery of integrated capability, and how should delivery sequencing be adjusted?",Primary,Schedule & developmental risk,Project; Schedule; Dependency; Capability; Risk,Time-to-field integrated capability,Delay propagation; dependency density,Method paper with illustrative examples,Medium (open proceedings PDF via ScienceDirect/ResearchGate),Open (PDF via ResearchGate),Public,Architecture risk; dependency management,Dependency network analysis,https://www.researchgate.net/profile/Cesare-Guariniello/publication/262758666_Dependency_Analysis_of_System-of-Systems_Operational_and_Development_Networks/links/5d9d5d5e92851c2f70f2e5b2/Dependency-Analysis-of-System-of-Systems-Operational-and-Development-Networks.pdf,"Guariniello, C., & DeLaurentis, D. (2013). Dependency Analysis of System-of-Systems Operational and Development Networks. Procedia Computer Science (CSER proceedings).",[],False,"Which development dependencies threaten timely delivery of integrated capability, and how should delivery sequencing be adjusted?",False,"Which development dependencies threaten timely delivery of integrated capability, and how should delivery sequencing be adjusted?",Which,DomainTopic=SoS operational and developmental dependency networks | ScenarioType=Generic SoS dependency case with operational relevance | Hits=[],"Which development dependencies threaten timely delivery of integrated capability, and how should delivery sequencing be adjusted?",False
CSER-2014-Ilities-Tradeoff,CSER-2014-Ilities-Tradeoff-Q01,2014,CSER / Procedia Computer Science,Conference Proceedings (Procedia),"Integrated Analysis of Functional and Developmental Interdependencies to Quantify and Trade-off Ilities for SoS Design, Architecture and Evolution",Guariniello; DeLaurentis,Trading ilities in SoS using integrated dependency analysis,SoS evolution / architecture selection,Integrated functional + developmental dependency analysis; ility quantification; trade-space analysis,Metrics; integrated dependency model; tradeoff examples,"How do different architecture choices change key ilities (resilience, flexibility, robustness) when both operational and developmental dependencies are considered?",Primary,Ilities trade-space,Architecture; Dependency; Ility; Risk; Measure; Tradeoff,Resilience/robustness of mission capability,Ility metrics derived from dependency structure,Method with illustrative examples,Medium (preprint PDF via ResearchGate),Open (PDF via ResearchGate),Public,Architecture selection & evolution planning,Integrated dependency + ility trade-space,https://www.researchgate.net/profile/Cesare-Guariniello/publication/280871209_Integrated_analysis_of_functional_and_developmental_interdependencies_to_quantify_and_trade-off_ilities_for_system-of-systems_design_architecture_and_evolution/links/55c90ca808ae09d975e7bdba/Integrated-analysis-of-functional-and-developmental-interdependencies-to-quantify-and-trade-off-ilities-for-system-of-systems-design-architecture-and-evolution.pdf,"Guariniello, C., & DeLaurentis, D. (2014). Integrated analysis of functional and developmental interdependencies to quantify and trade-off ilities for SoS design, architecture and evolution. Procedia Computer Science (CSER proceedings).",[],False,"How do different architecture choices change key ilities (resilience, flexibility, robustness) when both operational and developmental dependencies are considered?",False,"How do different architecture choices change key ilities (resilience, flexibility, robustness) when both operational and developmental dependencies are considered?",How,DomainTopic=Trading ilities in SoS using integrated dependency analysis | ScenarioType=SoS evolution / architecture selection | Hits=[],"How do different architecture choices change key ilities (resilience, flexibility, robustness) when both operational and developmental dependencies are considered?",False
CSER-2014-Ilities-Tradeoff,CSER-2014-Ilities-Tradeoff-Q02,2014,CSER / Procedia Computer Science,Conference Proceedings (Procedia),"Integrated Analysis of Functional and Developmental Interdependencies to Quantify and Trade-off Ilities for SoS Design, Architecture and Evolution",Guariniello; DeLaurentis,Trading ilities in SoS using integrated dependency analysis,SoS evolution / architecture selection,Integrated functional + developmental dependency analysis; ility quantification; trade-space analysis,Metrics; integrated dependency model; tradeoff examples,Which dependency-driven design changes yield the best improvement in selected ilities per unit cost/schedule impact?,Primary,Value of design changes,DesignChange; Dependency; Cost; Schedule; Measure; Tradeoff,Improved ility index; reduced mission risk,Cost/schedule delta; sensitivity,Method with illustrative examples,Medium (preprint PDF via ResearchGate),Open (PDF via ResearchGate),Public,Architecture selection & evolution planning,Integrated dependency + ility trade-space,https://www.researchgate.net/profile/Cesare-Guariniello/publication/280871209_Integrated_analysis_of_functional_and_developmental_interdependencies_to_quantify_and_trade-off_ilities_for_system-of-systems_design_architecture_and_evolution/links/55c90ca808ae09d975e7bdba/Integrated-analysis-of-functional-and-developmental-interdependencies-to-quantify-and-trade-off-ilities-for-system-of-systems-design-architecture-and-evolution.pdf,"Guariniello, C., & DeLaurentis, D. (2014). Integrated analysis of functional and developmental interdependencies to quantify and trade-off ilities for SoS design, architecture and evolution. Procedia Computer Science (CSER proceedings).",[],False,Which dependency-driven design changes yield the best improvement in selected ilities per unit cost/schedule impact?,False,Which dependency-driven design changes yield the best improvement in selected ilities per unit cost/schedule impact?,Which,DomainTopic=Trading ilities in SoS using integrated dependency analysis | ScenarioType=SoS evolution / architecture selection | Hits=[],Which dependency-driven design changes yield the best improvement in selected ilities per unit cost/schedule impact?,False
JDMS-2014-RoPARS,JDMS-2014-RoPARS-Q01,2014,Journal of Defense Modeling and Simulation (JDMS),Journal,Using robustness concepts to determine effective solutions for route planning and resource scheduling in village search,(As listed in paper PDF),Ground operations: village search route planning & resource scheduling,Tactical ground operation (search) with constraints,Robustness analysis; route planning; resource scheduling; scenario-based evaluation,Optimization/decision model; scenarios; solution sets,"Which route plans and resource schedules remain effective across uncertainty in threats, timing, and task durations (i.e., robust plans)?",Primary,Operational planning under uncertainty,OperationalActivity; Task; Resource; Constraint; Uncertainty; Measure,Search effectiveness; time-to-complete; mission success,Schedule slack; resource utilization; robustness score,Model-based analysis + scenario experimentation,Medium (preprint PDF available),Open (author PDF),Public,Operational planning,Optimization + robustness,https://engr.colostate.edu/~ash/papers/ropars.pdf,(Paper authors). (2014). Using robustness concepts to determine effective solutions for route planning and resource scheduling in village search. Journal of Defense Modeling and Simulation.,[],False,"Which route plans and resource schedules remain effective across uncertainty in threats, timing, and task durations (i.e., robust plans)?",False,"Which route plans and resource schedules remain effective across uncertainty in threats, timing, and task durations (i.e., robust plans)?",Which,DomainTopic=Ground operations: village search route planning & resource scheduling | ScenarioType=Tactical ground operation (search) with constraints | Hits=[],"Which route plans and resource schedules remain effective across uncertainty in threats, timing, and task durations (i.e., robust plans)?",False
